a newes,s. nöwis.,
traage2,"(k. Steig.): ❶ P. Perf. von ↑traage1. ❷ tragend, trächtig von Kühen: ob tragenù oder leerù, ob gstieret ù wenn (pm 12); trage Chüe ù Rǜnner hii na dryne, vierne Maanet vùrworffe (Vaucher 24); ANT: leer.",
Träber,"(m, unveränd.): ❶ Treber, Mosterei-Rückstände (Üb2 We1); SYN: Träschter. ❷ Branntwein aus den Mosterei-Rückständen (Re1 / wh 104); ▲Schnaps. SYN: Träschter.","[bald † ◆ mhd trëber 'Rückstand bei der Most-, Bierherstellung' ◆ Id 14,58: BE, BS, FR]"
Traguuner,"(m, unveränd.): Dragoner (wh 148); va de Traguuner- ù Ratsherreposchtuur isch nit vǜl Gaarigs vǜǜr plǜbe (pb Isi40); ▲Militäär. SYN: Rösseler.",
trappe,"(-et): ❶ treten, a) Fusstritt versetzen, auf etwas treten (wh 140, 211); är hät chene verzele, wy im Gùggischbärg äne iina vam ana Mùni trappeta cho isch (fa Religion); SYN: fùngge. ZSS: vùr~. b) in die Pedale (Ta2); da hät er du grusam müesse trappe bis i Brügg ahi nachdem Motor kaputt (FN 3.11.1908); SYN: träppele. c) jmdn. mit Worten treffen (übertr.); är het ne trappet (pb S-3); ↑muule. ❷ gehen, a) schwerfällig gehen (Ta1); nahi isch mù iis ùm ds andra zùr Chǜlha uus ù hǜbscheli dùm Wǜrtzhuus zuetrappet (pb Spät137); SYN: stoffle. b) stapfen: we dr löschta ùs de Maada trappet isch (pm 14); ↑stampfe.","[mhd trapen, traben 'gleichmässig gehen, traben' ◆ Id 14,1241]"
Treea, s. Treeja.,
Treib, s. Trǜǜb.,
treschaagge,(-et): ❶ Kartenspiel machen (pb S-4); ▲jasse. ❷ verprügeln (Wü1 Üb1); ZSS: vùr~.,"[ev. vom Kartenspiel, bei dem man beim Verlieren hart dran genommen wird, auf 'plagen; verprügeln' übertr. (dwb); Id trennt die beiden Bedd., doch genaue Herkunft bleibt unklar ◆ Id 14,1362]"
Trihela, s. Trichela.,
Trischta,"(f, -e): Triste, kegelförmig, um eine Stange aufgehäuftes Heu, Holz, Heuschober (Dü1 Wü1; sds 8,153: Dü Wü Fr Ta OL / wh 178); SYN: Birling. ↑ Puppi, Tǜscha.","[auch Trǜschta (Dü1 Wü1), Dim. Trischli (wh)]"
Trömḷ,"(m, -le): ❶ gefällter Baumstamm (Gu1 Üb He2 We1 / wh 96); [d Seisa het] Stiblöck ù Trömmlen ù Tǜtscheni wy Zǜndhölzli tröölt (pm 41); SYN: Stamm. ❷ gr., rundes Holzstück, Bauholz, dicker Ast (UL1 Dü2 Üb2 Fr1 Ta1 He1 OL1 / wh 90, 104); SYN: Trǜmala, Penggḷ. ↑Hoḷz.","[auch Tremḷ (Gu1 / wh), Trämù (Üb2), Trǜmù (Ta1 He2) ◆ älter ◆ ahd tremil 'Balken; Riegel'; zur Lautung s. Anhang 3.2 ◆ Id 14,990]"
trööne, s. drööne.,
Trösch·äärbs,"(f, -e): grüne Erbse (We1). ▲Gmües. SYN: Uusmachäärbs, Zùckeräärbs.",
Trotta,"(f, -e): Kelter, Weinpresse (sds 8,203: We Pl Ss); an alti Trotta (pm 11); SYN: Trüela.","[mhd trotte 'Kelter' ◆ Id 14,1534]"
Truba,"(f, -e/Trüble): Traube, a) einzelne Traubenbeere (Dü2 Üb2 Fr2 We Re2 Si2 Pl2 Ss2; sds 6,168: We); SYN: Trübḷ. b) Fruchtstand des Weinstocks (neu / Fr2 Ss2); SYN: Trübḷ. ZSS: Spalier~.","[Id 14,189]"
Trǜcker,"(m, -e): Kartoffelraffel (sds 7,198: Gu Fr He). SYN: Rabier.","[Id 14,838]"
trüeb,"(-er, -scht): trübe, a) unklar, zB Wasser: ds Wasser chùnnt trüebs (wh 191); b) dunstig, von Wetter (neu / Wü2 He2); SYN: ghiidig.",
trǜllere,"(-et): hin- u. herbewegen, drehen (pk). SYN: treeje.","[zu trülle 'drehen' ◆ Einzelbeleg in FR ◆ Id 14,957: nur UR]"
Trùmpeeta,"(f, -e): Trompete (wh 34). ▲Ynschtrument.",
Trǜschta, s. Trischta.,
Trùtz·grinn,"(m, -grine): abschätzig für eine sture, etwas erzwingende Person (We1). SYN: Zwinggrinn.",
trùùme,"(-et/-t): ❶ träumen (allg.; sds 5,25 / wh 109, 210); ↑trùùgge. ❷ tagträumen, fantasieren (Pl2); SYN: trǜǜmere. ZSS: ar~.",[auch trǜǜme (neu / Fr2)]
Trybù, s. Trübḷ.,
tschä,"(Part.): Ausdruck, mit dem man etwas gibt, etwa: da, nimm (Dü2 Wü2 We2); SYN: ssä, tä.","[auch tschiäng (pb S-2) ◆frz tiens 'da, nimm' ◆ fehlt so in Ma-Wbb]"
tschäggere,"(-et): unsauber schneiden, rupfen, zB Haare, Stoff, Gras (pb S-4); SYN: rùpfe, strùùpfe. ↑ boosgge, schnùùrpfe. ZSS: vùr~.","[zu lautmalender Interj. tschägg! (Id) ◆ Id 14,1711: nur FR]"
tschättere,"(-et): a) klappern, scheppern, schlecht tönen (Fr1); SYN: tschädere. b) klirren, scheppern, ev. gar zerschellen: d'Eisa het d'Blatteni rösch zämme grumt, d'Löffle u Gable i d'Chachla ihi gschmeizt, daß es fin a so tschätteret het (vs 1913,4); ↑vùrsprätzle. ZSS: zäme~.","[zu tschädere ◆ Id 8,1497: schättere ]"
Tschingg,"(m, -e): ❶ Gabelspitze, Zinke (pb S-4; pk); SYN: Zingge. ZSS: Drüü~, Vier~. ❷ Italiener (derb / wh 151, 183); vgl. Anhang 1.",[auch Tschingge (pk; Stalder) ◆ 1. zu ahd zinko 'vorspringender Teil'; 2. zu ital cinque 'fünf' ◆ Stalder: Tschinggen (nur FR)]
Tschopp,"(m, -ö-): Job, Beschäftigung (Dü2 Gi2). SYN: Aarbiit.","[neu ◆ engl job 'Arbeit, Beschäftigung']"
Tschuggeli,"(n, -eni): abschätzig für naive, dumme Person, bes. Kind (He1). vgl. Anhang 1.","[zu schwzdt Tschogg 'dummer Mensch', das viele ähnl. lautende Synonyme hat (Id 14,1716); Herkunft unklar]"
tschùḷd,"(k. Steig.): schuld, schuldig (wh 147); säuber tschǜut (Pl1); we de Chänù rǜnnt, de gib nit dùm Rään Tschùld nicht Schuld auf andere schieben (Volkskalender 1996,63); SYN: schùlig. ↑Güḷttitḷ.","[auch tschǜḷd (Pl1) ◆ aus d Schùḷd 'die Schuld' ◆ Id 8,650]"
Tschǜppeli,"(n, -eni): ❶ kl. Herde, Gruppe, zB zwei bis fünf Individuen (Gu1 Üb1 ML1 OL1); in era fiischteri Nacht isch as Tschǜppeli Ggùschteni obedǜǜr ga glùnggele fǜr z Bärg (pm 77); wir si ja nume n'as z'Tschüppeli Lüt (FN 17.10.1908); ▲Mengi. SYN: Chùppela, Grùppa, Rǜǜbi. ↑Kùntigent. ❷ Büschel, kl. Staude, Doldengewächs (Dü1 Fr1); SYN: Tschùggḷ, Studa.",[veraltet]
Tschyyns,"(Pl.): Jeans, eng geschnittene Baumwollhose (allg.). ↑Hose.",[auch Tschyns (Dü1 He1 We2 Pl1)]
Tǜber,"(m, -e): Hut, Zylinder: der Oberamtma, i Fächtetschoepe ù Tǜber, isch uusgstige (Kolly 30); ▲Huet.","[frz tube 'Röhre, röhrenförmiger Männerhut' ◆ Einzelbeleg ◆ fehlt in Ma-Wbb]"
tue,"(tuet, taa): tun, machen (wh 165ff, 213); tue iis gyge musiziere etwas (wh 193); ZSS: ùber~. • Raa.: gnue tue sich abrackern (Wü1 Fr1); no we si heiloos muess ggnue tue fùr ùber d Stääga uuff (pb Verse84); ↑päärze. • grooss tue: är het nit groess ta, wäge syr Chraft (pm 71); wier chennte no vǜlmee groess tue, aber wyr törffe nit wäge de Stüüre prahlen, angeben (pb S-7); ↑plodere. • guet tue sich benehmen; gedeihen (pb S-1a) • liid tue schlimm treiben; lärmen; sich abmühen; streiten (allg.); ↑ flegere, päärze. • tùmm tue Unsinn machen: di andere [hi] nùme glachet ù tùm ta ù sy mit ùm Chaubli i de Matta ùmma gsprùnge (fa Religion) • Wee tue Schmerzen bereiten: tue di no Wee! (We1); tue der no Wee! (Ta1); das het era hörter wee taa weder Schleeg (pb Spät127) • isi i d Brùscht tue prahlen, angeben: «i wott nit an uusglùgnata Mässdiener syy», tuen ii mi i d Brùscht (ms 105f); ↑plodere. • ùf d Bii tue a) aufstellen (Ta2); b) antreiben: i wǜü dä Fink ùf d Bii tue (ms 119); ↑hüüe. • z Bäärg tue auf die Alp geben (Üb2); ↑bäärge. • z Huuffe tue anhäufen: nahi het er di Choole usaggrǜblet ù si z Huuffe taa (pm 38); ↑tǜsche. • z lige tue schlafen legen: i mues mi ga z lige tue (Gu2); ↑annilige. • z line tue aufweichen, einlegen (Wü1 / wh 148) • as tuet/tüege si epa soùft es wird wohl genug sein (ar 71) • as tüegis oo (asoo) es gehe trotzdem, sei trotzdem genug (pk).","[Ind. Präs. Pl. in Gu Dü Wü: wier tye, ier tyet, si tye; Konj. tyegi; sonst wier tüe, ier tüet, si tüe; Konj. tüegi, teegi (Wü Üb Fr ML OL)]"
Tüela,"(f, -e): ❶ Tälchen, Senke (Dü1 Wü1 Ta1 We1 Ss2); SYN: Chääla. ↑Hùùli. ZSS: Moos~. ❷ Rohrpflanze, aus der man Pfeifen herstellen kann (Ss1); ↑ Fùùrza, Nüela.","[auch Tuela (Ss) ◆ veraltet ◆ mhd tüele 'Vertiefung, Wunde'; vgl. hochdt Tal ◆ 2. Einzelbeleg ◆ Id 12,1706: Tüela (CH-ML), Tuela (Alpen)]"
Tǜḷ,"(m, Tiile): Teil, Anteil, Bestandteil (wh 108); Atto! göb mer doch mî Theel Guet usa (Stalder 1819. OL); gät mer mi Thül Gut, wa mer kört (Stalder: UL); ZSS: Voor~, Woon~. • Ra.: tiilen Oorte an einigen Stellen (Pl1).","[auch Theel (Stalder OL), Tiḷ (wh)]"
Tùmmerta,"(f, -e): Fuder, Menge, die auf einen Zweiradkarren passt, zB Steine, Erde, Gras, Kartoffeln (allg1 Üb2 ML2 OL2); Zbindes Chnächt, wa mit era Tùmmerta Mǜscht umewäg gsy isch (fa Chatz); ▲Mengi. ↑ Bääreta, Blatteta, Chareta, Chruegeta, Pfaneta. • Ra.: a Tùmmerta Fǜngg gää wütend zertreten, mit Fusstritten eindecken (Wü1 Ta1); ↑vùrfùngge.","[auch Tùmmerata (Re1), Tùmbereta (Üb1) ◆ älter ◆ zu Tùmmer; zu -eta s. Choorbeta ]"
Tǜpfi,"(n, -eni): ❶ kl. Kochtopf (pb S-4); ↑Tùpfeli. ❷ abschätzig für a) elegantes, eingebildetes Mädchen (Gu UL Fr Ta We Re2 Si1 Pl1 Ss); hǜbsch uufgmǜtzt sy di drüü Tǜpfeni erschine (Aeby 39); b) zimperliches Mädchen (Wü2 He1 ML2 Gi1 Re1 Si2 Pl2); c) unbeholfenes Mädchen (Dü); vgl. Anhang 1.","[Bed.1 zu mhd tupfen 'Topf'; unklar, ob Bed.2 auch hierher ◆ Id 13,993]"
Tǜscheta,"(f, -e): Stapel, aufgeschichteter Haufen: im Äschterich obena isch a toli Tǜscheta Brennhouz (aj Alergattigs5); SYN: Tǜscha.",[zu Tǜscha; zu -eta s. Huuffeta ]
Tussy,"(n, -eni): abschätzig für allzu elegant, geziert auftretendes Mädchen (Ta2). vgl. Anhang 1.","[neu, bes. Jugendspr. ◆ zu hochdt Thusnelda 'Frauenname; abschätzig für Frau']"
Tùtter·bluema,"(f, -e): gelbblühende Blume, bes. Troll-, Sumpfdotterblume (sds 6,117f: Wü); ↑Ankebunya.","[Id 5,72]"
tuuch,"(-er, -scht): ❶ scheu, gehemmt, kleinlaut (Wü1 Si1 Pl1); iis va de Chinn het gmint, Isidor sygi tuucha ù dùùsama (pb Isi67); ANT: fräve, grooskotzet. SYN: scheniert, schüüch, tùùsam. ↑ aygschlaage, yyzoge, zämetschätteret. ❷ missmutig, verstimmt (Ta1); SYN: wùnderlig.","[auch tùùch (Wü1 Ta1), tuech (Si1) ◆ prakt. † ◆ mhd dûhen 'niederdrücken' ◆ Id 12,216]"
Tüüfḷs·lengi,"(f, -ene): unerwartet gr. Zeitdauer (allg1 Wü2 Üb2 Ta2 He2 Re2 Si2 Pl2 Ss2); det hät er a Tüüfùslengi dranùmma zylenderet (fa Religion); ↑ Rùng, Wǜḷ, Wǜǜsch, Zytt.",[Tüüfḷs- als Verstärkung ◆ fehlt so in Ma-Wbb]
tǜǜpele,"(-et): ❶ schmollen, brummen (Gu1 Dü Wü ML2 OL1 Si2); ↑muuḷtrùme. ❷ a) lang plaudern, einfältig reden (Ta1 He1 Gi1 Re2 Pl1); ma muess äbe nit alz gglùùbe, was d Lüt baabele, ù nit alz wytererzele, was mù het kööre tǜǜpele (Kolly 17); nam Füraabe (...) Schwarza trùùhen ù gschnapset, tǜǜpelet ù ggsǜǜrmlet (pb Isi62); SYN: saassere. b) Verrücktes aushecken (We1 Re2 Si1 Ss1); SYN: kaḷfaktere. c) Streit suchen, provozieren (Üb1); ↑höḷke.","[auch töypele (Gu1), tǜǜbele (Wü2 We2 Si2), tǜbele (Re1 Si1) ◆ zu mhd toup 'gehör-, gefühllos; närrisch', schwzdt taub bes. 'zornig' (zum Verb vgl. Kuhn 1961,76, Hodler 1911,21); in FR hat das Verb ungewöhnlich viele alte Unterbedeutungen des Adjektivs beibhalten ◆ Id 13,951/969: nur and. Bedd., vgl. BE-Wb: töupele 'zornig sein, schmollen']"
Tǜǜpḷ·grinn,"(m, -grine): abschätzig für einen Trotzkopf (Ss1). vgl. Anhang 1.",
tüüre,"(-et): teurer werden, verteuern (pk).",
Tǜǜr·saare,"(m, unveränd.): Riegel am Türschloss (Fr1 Ta1 Re1).",
tüüsche,(het tüüscht/tosche): a) jmdn. täuschen (allg.); SYN: pschyysse. b) sich täuschen (Gi2); SYN: trùmpiere.,"[mhd tiuschen 'täuschen', neues P. Perf. tosche nach starken Verben wie schlüüffe - gschloffe; wohl in Mundarten entstanden, die bes. viele davon haben (schüüsse, büüge, flüüsse usw.) ◆ Id 14,1964]"
Tüüsseler," (m, unveränd.): ❶ schleichende, spionierende Person (allg1); z'äge hägi hetti di Stündeler u di Tüsseler (...) öpis a so zwäg bracht (FN 13.6.1908); vgl. Anhang 1. ❷ Wilderer (Id); SYN: Wǜḷderer.","[auch Tüüsserler (Pl1) ◆ Id 13,1824: 2. nur FR]"
Tyrlibùùm, s. Tierlibùùm.,
ùberchine,(-et): (zu) viele Kinder haben u. dadurch in Armut geraten: si hii ùberchinet (pb S-4); ↑bùchoo.,"[aus *über-kinden ◆ Id 3,350: BE, BS]"
Ùber·gschüe,"(n, kein Pl.): Oberleder der Schuhe: etlig Schloorgge, wo ds Ùbergschüe no ordeli ganzes plǜben isch, sy frǜsch uufpödeleti cho (aj Alergattigs26). ▲Schue.","[Einzelbeleg in FR ◆ zu mhd ge-schüehe 'Schuhwerk' ◆ Id 8,492: CH]"
ùberi·schmiize,"(-gschmiizt): hinüberwerfen, hinwerfen; bes. • Ra.: de Bättù ǜberischmeize aufgeben, alles hinwerfen (Gu1).",[auch ǜberi~ (Gu1)]
ùber·oort,"(k. Steig.): ❶ beiseite, aus dem Weg (Gu1 UL1 Wü2 Fr1 Ta1 He1 Gi1 Re1 Ss1 / wh 135); (meist verbal) ùberoort tue beiseite legen, wegräumen; ↑ùberöörtere. ❷ weg, ins Jenseits (übertr. / pb S-1b); i gspǜres ja guet ggnue, as isch Zyt fùr ùberort müp mier (pb Spät134); SYN: toot. ↑fort.","[auch ǜberoort (Gu1 Wü Fr1 He1 Re1) ◆ zu mhd ort 'äusserster Punkt'; über 'darüber hinaus' ◆ fehlt im Id; vgl. SI-Wb: 'daneben'; BE-Wb: 'erledigt, vollbracht']"
ùbertroole,"(-troolet): (sich) hinunterrollen, Kinderspiel (sds 5,82: Ta).","[Id 14,887]"
ùber·yha,"(Part.): herab, von oben herab (pb S-7); SYN: dǜrab. • Ra.: ùberyha nää umarmen: [dr Att] het ne ober îhe gno o het ne gmunzet (Stalder 1819: UL); asch nit lang ggange, ischi dier ùf de Chnöüw ggsässe ù het di ùberyha ggnoe (pb Isi65); ↑mǜnzele.",
ufblaiht, s. uufpleejt.,
Uhu,"(m, unveränd.): Uhu, gr. Eule (neu / Gu2 Wü1 Ta2 We2). SYN: Hùùri.",
ùma·chreiche,"(-gchreicht): wenden, Kurve fahren (Si1).",
ùma·lige,"(-gglääge): herumliegen, a) von Personen, faulenzen (allg.); SYN: plegere. b) von Dingen (allg.).",
ùme, s. nùme.,
ùmhowe,"(-ghowe): einen Baum fällen (sds 8,135: Fr).",
ǜmpfe,(gg-t): impfen (wh 91); zyt ùm £mpfe i dr Schuel [het er] nie mee a Tokter va nohùm gsee (pb Isi16).,
ùmzvùrode,"(Part.): (Part.): unbedingt, absolut (Wü1). SYN: parforsch.","[auch ùmzverode (Wü1) ◆ zu schwzdt verrode 'sich bewegen', dieses ev. zu schwzdt rüdelen, rütteln (Id); die wörtl. Bed. der Ra. *um ds Verrode 'um das Bewegen' ist sinnlos, daher wohl verhüllend für schwzdt um ds Verrecke (s.o.) ◆ Id 4,620: 'um keinen Preis' (AG, LU)]"
ùnderi,"(Part.): ❶ darunter (Richtung od. Lage): as isch gsy fùr gschwǜnn amena Ort ùnderi unterkommen (ar 68); SYN: drùnder. ❷ untere, flekt. Adj.: näbùm Tǜrli zùr ùnderi Wiid (pm 85); ↑ùnder.",
Ùnderrock,"(m, -ö-): Unterrock (Üb1 Ta1 We1 Re1 allg2). SYN: Ggotilùng.",[auch Ùnterrock (He2)]
Ùnder·zùùg,"(m, -zǜǜg): ❶ waagrechter Tragbalken unter Zimmerdecke (SE1 Wü2 Fr1 / wh 100); nai het er ne [de Stüüreboge] bym Ùnnerzùùg yygsteckt ù teicht: «Dä wott i no a bitz la zyttege.» (pm 87); SYN: Höḷse. ↑Byyschtaḷ. ZSS: Tenn~. ❷ Unterzug, beim Jassen zurückbehaltene Stichkarte (Gu1 Dü1); ↑Jass. / ↑schinte.","[auch Ùnnerzùùg (pm) ◆ veraltet ◆ Anderegg 1,295]"
Ùne·wùy,"(m, kein Pl.): Jassart. ▲Jass.",
ùnggattiget,"(-er, -scht): ungezogen, unartig (Ta1 He1); in üser Schuelklass isch dazùmal a wilda, ùnggatigeta, ùngstreelta Bueb gsy (Kolly 53); SYN: ùwaatlig.","[auch ùggattliget (Ta1) ◆ Id 2,502]"
Unifoorm,"(f, -e): Uniform. SYN: Monduur, Tünigg. ↑Tracht.",
Ùnwätter, s. Ùwätter.,
usa·choo,"(isch -choo): ❶ herauskommen, zB aus Haus (allg.); SYN: usalùùffe. ❷ erfolgreich enden, a) gelingen, schaffen: asch dùù nüüt usachoo (We1); SYN: abtraage. b) Handel tätigen, Geschäft abschliessen (Pl1).",
usa·sprǜtze,(-gsprǜtzt): ❶ herausspritzen. ❷ herausprusten mit vollem Mund (Ta2). ↑apǜre.,
üsersch,"(Pron.): unseres, Nom. od. Akk. Sg. neutr.: «grad as wy di wǜudi Jagd!» tschuurlet grasgrüens üsersch Emi (ms 56); vgl. Anhang 2.","[auch ǜsersch (OL1 Gi2 Re2 / wh), üsers (Dü2)]"
usi·schǜssele,"(-gschǜsselet): rauswerfen, sich entledigen (pb S-C). SYN: usischüfele.",[zu Schǜssḷ ]
ùssewenig, s. ùsswenig.,
uuf,"(Part.): ❶ auf, hinauf (wh 62, 107, 121, 135); ↑ùf. ZSS: dǜr~, häl~, oben~. ❷ kurz für: aufstehen: am Aabe nie nider ùn am Morge nie uuf (Aeby 13); hopp, uuf itz (We1); ↑vǜraschnaagge.","[das Adverb lautet uuf, die Präposition ùf 'auf']"
uuffaare,(-gfaare): schnell wütend werden (Gu2 Ss1). SYN: uufbrene.,
uufhaa,"(-ghääbe): ❶ in die Höhe heben, halten (Ta2); SYN: bǜre. ❷ offen halten: de Bǜǜmlipùtzer hät de de Sack scho uuf (fa Chatz); ↑tuuffe. ❸ Hausaufgaben haben: wa mù niemer mee gsiit het, was er uuff hiigi (pb Spät106). ↑Uufgaabe.",
uuf·lyyre,"(-gglyyret): einwickeln, drehen (Pl1).",
uuf·räche,"(-ggrächet): rechen (sds 6,137: Gu).",
uufschiesse,"(-gschosse): ❶ auffahren: i bi wyn a archlǜpfta Hase uufgschosse ù was gisch ù was hescht devaa techlet (Aeby 24); ❷ überschnell wachsen, meist P. Perf.: dia isch schöön uufgschosse grossgewachsen (pk).","[Id 8,1363]"
Ùùge·browne,"(Pl.): Augenbraue (sds 4,13: Ta). SYN: Ùùgsbraawa.",
Ùùgschte·füür,"(n, unveränd.): Erst-August-Feuer (wh 131). ↑Eerschtag-Ùùgschte.",
Uurgross·muetti,"(n, -eni): Urgrossmutter (Dü1 Wü2 Ss2). SYN: Äänismueter.",
üüs,"(Pron.): ❶ uns, refl., betont (allg. / wh 166); wier hii üüs hütt säuber gschlaage (Dü2 We2); vgl. Anhang 2. ❷ uns, betont, Dat./Akk. des Personalpronomens ↑wier; ǜǜs, üüs (wh 97); üüs Schlùfibuebe het mù mit an era Stanga derdǜǜr gholfe (pm 69); vgl. Anhang 2.",[auch ǜǜs (wh)]
uus·chrottne,"(-gchrottnet): ausspülen, oberflächlich waschen (pk); ▲wäsche. SYN: ggwääsche, schweiche.","[wohl zu Chrott 'Kröte', die im Schmutz herumwatet, doch Einfluss von frz décrotter '(die Schuhe) von grobem Schmutz befreien' nicht auszuschliessen (Id) ◆ Id 3,881: chrotte (westl. Dt-CH)]"
Uus·gsee,"(n, kein Pl.): Aussehen, Gestalt (allg.). SYN: Gsüün.",
uuslööse,"(-gglööst): ausschütten, ausleeren (sds 5,218); SYN: vùrschlodere.",
uusrǜcke,"(-ggrǜckt): ausrücken, a) ins Feld marschieren (milit.); b) zur Feldarbeit gehen: nam z Morge isch mù ùmmi uusgrǜckt (pm 15); ↑Stole (i ~ gaa).",
uus·schoore,"(-gschooret): herausscharren, reinigen: ùnner dr Hǜtta ahi isch a Sǜdereta, wan i o no setti ga uusschoore (pm 82).",
uus·töggele,"(-et): ausspielen, umdribbeln (Sport / We2). ↑schutte.",
uuszye,"(-zoge): ❶ ausholen, a) zum Schlag, Schuss (Ta2); ↑schlaa. b) schnell gehen (We1); SYN: jùfle. ❷ wegziehen, andere Wohnung suchen. ❸ Tisch verlängern: am Chǜlbitag isch dr Tǜsch i dr Stùba uuszogna (pm 24).",
valöscht,"(Part.): letzthin, in letzter Zeit: valösch amaau (Ss2); valöscht iinisch (He1); SYN: vùrwiche.","[auch valösch (Ss2) ◆ zu vor-lest-(ein-mal) 'in letzter Zeit' ◆ Id 3,1467: ZH-OL; BE u. FR fehlen]"
velecht, s. vùrlicht.,
verreble, s. vùrräble.,
Vetterliwǜrtschaft,"(f, -e): Vetternwirtschaft (allg.).",
viernisch,(Part.): viermal (wh 195). SYN: viermaaḷ.,"[Id 1,925]"
Vijeli, s. Vyeli.,
Vogḷ·gschüüch,"(n, unveränd.): Vogelscheuche (sds 6,217: Wü We).","[Id 8,143]"
vöḷkerle,(g-et): Völkerball spielen (Üb1 He2 Pl2); ↑gùmele. / ↑Vöḷkerbaḷ.,
voorlötscht, s. vorlescht.,
Voor·stuel,"(m, -üe-): bewegliche od. feste Sitzbank in Stube od. Küche (sds 7,183: We OL).","[Id 11,299]"
vorder,"(-er, -scht): vorder, vorn befindlich, a) räuml. (wh 99, 164, 192); b) zeitl.: vodera Sùnntig (Ta1); ↑zeersch.",[heute meist voder (Ta1 / wh) ◆ voder kann heute 'vorder' od. 'von dir' bedeuten]
vǜḷ,"(Pron./Adj.; mee/meere/vǜller, meischt/ vǜḷscht): viel, oft (allg. / wh 89, 100, 122); di meëre öfter, mehr als viel (wh 59, 192: ""†""); meererisch öfter (Gi1); di meischte (wh 64); am vǜḷschte (Ta1 Ss1 / wh 193); SYN: toḷ, wäseli. ↑ dick, meeder, menga, stüüff, Tüüfḷ (as Oor ab). / ↑Hüüffene. • Raa.: vǜḷ z vǜḷ überflüssig, zu viel: wie menga Werchma si i mîm Atts Huus, die vil z'vil Brod z'esse hei (Stalder 1819: UL); ↑vǜǜrig. • z vǜḷ gää zu viel auf einmal, mühsam sein: mǜǜt er de, git esn ùch nit z vǜl? (pb Ana103) • isch das nit a bitz nit grad vùu? sehr wenig (Vaucher 6).","[auch viḷ (wh: ""alte Gen. im OL""; Stalder), vùu (We1 Gi / wh 94), viù (Gu) ◆ Id 1,774: -ǜ- nur FR; Stucki 1917,132]"
vǜra·feesche,"(-gfeeschet): hervorkramen, wieder auffinden (Si1). ↑ nüele, vǜratǜsche.",
vùrbene,(-pennt): missgönnen: de Tusigsdendere verbenne ehm ja as nieders Chacheli Nidelgaffe (Sense 1863); SYN: vùrgene. ANT: gene.,"[Id 4,1318: Gross-BE, FR]"
vùrblüete,"(-et): ❶ ausbluten, sterben (Dü1); ▲stäärbe. ❷ blutüberströmt sein: mit de Doernekroena ùf ùm Chopf, ganz vùrprätscheta ù vùrblüeteta (pb Isi26).",
Vùrbùtzta,"(m/f/n, -a/-i/-s, -e): Maskengestalt (sds 5,62: Dü Ta We OL). SYN: Massggierta. ↑Massgga.","[Id 4,2009]"
vùrchiibe,"(-et): ❶ verderben, zB Dinge, Lebensmittel, Beziehung: dä hets itz emù vùrchiibet mit era (Fr1 Ta2); SYN: gschente. ↑ vùrchachle, vùrfuerwärche, vùrhùnze, vùrsawatte, vùrtonnere, vùrtüüfle. ❷ zerstören (Wü1); [i nǜme kinner Drooge, wäge] i wott doch mier nit ds Lääbe verchiibe (Haas: Brün); SYN: vùrmǜǜrde. ❸ einen Menschen auf die schiefe Bahn bringen, ein Tier verderben: denn isch er ganz vùrchiibeta choo (Si1); SYN: vùrhùnze. ❹ jmdn. schlecht machen, verspotten (Wü1); SYN: uusflegere. ",
vùrchuttet,"(-er, -scht): zerrissen, zerzaust: ds meischta isch verchuttet, verschrisse vertrǜckt ù verzatteret em Bode gglääge (aj Rollimoos162); ↑vùrzatteret.",
vùrfluecht," ❶ (-er/-flüechter, -escht/-flüechtescht) verflixt, schlimm (wh 212); ↑liid. ❷ (Part.) a) verdammt, Fluchwort (derb / wh 212); SYN: sackerdyy. b) sehr, extrem, Verstärkungsadverb (wh 212); SYN: määrterlich.",
vùrgene,(-t): missgönnen: mer wii mù de Hǜmù nit vùrgene (vs GuC58); SYN: vùrbene.,
vùrgrable,"(isch -et): im Körper kribbeln, erwartungsfreudig, nervös sein: i wee fasch vùrgrablet (Dü2).",
vùrhileessige,"(-et): vernachlässigen, leichtsinnig missachten, zB Verletzung, Ordnung (allg.); wäge der Infekzioon, wan er am Anfang vùrhileessiget ù nai vùrschlǜǜpft het (pb Isi37).","[auch verhiläässige (Gu2 Dü2 Wü1 Üb2 Fr2 We2 Re1 Si1 Ss2), verheiläässige (Gu1) ◆ schwzdt ver-hin-lassen/-lässigen ◆ Id 3,1416; dwb]"
vùrhützgge,"(-et): verhökern, billig hergeben (Baeriswyl); di schöene Bueche, wan er vùrhützget het (vs GuC59); SYN: uufrüble.","[auch verhürze (Baeriswyl) ◆ Herkunft unklar; zu -gge s. lotschgge ◆ Id 2,1839: verhütze ]"
vùrjaage,"(-jaggt): ❶ wegjagen, vertreiben (Dü1 Re1 Si2); SYN: vùrtryybe. ❷ zerspringen, zerplatzen, auch vor Wut (He1 We2); as het ne fasch verjaggt (He1); SYN: vùrsprätzle.",
vùrliere,"(-loore): verlieren (allg. / wh 68, 208); [mî Bueb] est verloerna gsy on est omhe gfonena choe (Stalder 1819: UL); är isch verloerna (wh 204); SYN: vùrhüenere. • Raa.: as Chinn vùrliere Früh- od. Totgeburt erleiden (He1 Gi1 Ss1); ↑arwärffe. • si het de Maa vùrloore sie ist Witwe (Gi1).",
